Nombre del Indicador: Déficit habitacional cualitativo
Definición: Se compone de las viviendas que, por su calidad insatisfactoria, deben será mejoradas mediante reparaciones, cambios de materiales, ampliaciones de superficie o conexión a servicios básicos
Unidad de medida: %
Fuente de datos: INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo
Año,Quito,Guayaquil,Ibarra
2009,20.9,39.56,30.73
2010,18.17,40.33,29.95
2011,17.05,26.49,25.54
2012,13.79,25.82,27.53
2013,10.26,34.84,24.21
2014,9.72,34.55,23.76
2015,7.39,36.84,23.03
2016,11.99,33.83,21.82
2017,8.3,35.16,21.7
2018,8.14,33.66,35.2
2019,13.14,35.56,29.37
